Link,Description,Score
/betterment-vs-vanguard-4694255,Betterment vs Vanguard,0
/wealthfront-vs-vanguard-4693481,Wealthfront vs Vanguard,0
https://www.investopedia.com/financial-advisor-4427709,Advisors,0
/practice-management-4689784,Practice Management,0
/continuing-education-4689788,Continuing Education,0
/financial-advisor-careers-4689786,Financial Advisor Careers,0
https://www.investopedia.com/top-100-financial-advisors/,Investopedia 100,0
/portfolio-construction-4689785,Portfolio Construction,0
/financial-planning-4427750,Financial Planning,0
https://academy.investopedia.com/?aca_ref=header_home_link_1,Academy,0
https://academy.investopedia.com/products/investing-for-beginners?aca_ref=header_latest_1,Investing for Beginners,0
https://academy.investopedia.com/products/become-a-day-trader?aca_ref=header_course_1,Become a Day Trader,0
https://academy.investopedia.com/products/trading-for-beginners?aca_ref=header_course_1,Trading for Beginners,0
https://academy.investopedia.com/products/technical-analysis?aca_ref=header_course_1,Technical Analysis,0
https://academy.investopedia.com/?aca_ref=header_latest_1,All Courses,0
https://academy.investopedia.com/collections/trading-courses-collection?aca_ref=header_latest_1,Trading Courses,0
https://academy.investopedia.com/collections/investing-courses-catalog?aca_ref=header_latest_1,Investing Courses,0
https://academy.investopedia.com/collections/finance-courses?aca_ref=header_latest_1,Financial Professional Courses,0
/,,0
https://www.investopedia.com/coronavirus-could-cost-airlines-usd113-billion-in-revenue-4798861," 


Coronavirus Could Cost Airlines $113 Billion in Revenue

IATA just increased its estimate for 2020 global revenue losses due to COVID-19 from $29 billion to $63-$113 billion.",0
https://www.investopedia.com/how-to-address-volatility-concerns-with-clients-4798812," 


How to Address Volatility With Clients

Experts weigh in on the best ways to help clients get a handle on the recent market selloff and upcoming volatility.",0
https://www.investopedia.com/best-robo-advisors-4693125,Best Robo-Advisors,0
https://www.investopedia.com/best-brokers-for-roth-iras-4587878,Best Brokers for Roth IRAs,0
https://www.investopedia.com/terms/e/etf.asp,Essential Guide to ETFs,0
https://www.investopedia.com/terms/1/401kplan.asp," 


Make the Most of Your 401(k)

The rules, how they work, how much you should contribute, and more.",0
https://www.investopedia.com/best-high-yield-savings-accounts-4770633,"Best High-Yield Savings Accounts

Compare the best nationally available savings account rates.",0
https://www.investopedia.com/so-you-re-getting-married-4687193," 


Marriage and Money

Getting married has financial consequences, here's how to plan for positive ones.",0
/simulator,Get Started,0
https://academy.investopedia.com/,View Courses,0
https://link.investopedia.com/join/53o/00-homepage-marketsum,Sign Up Now,0
http://sponsored.investopedia.com/collection-plus/investing-2020-future-of-finance," 


Investing 2020: The Future of Finance",0
https://www.investopedia.com/terms/a/annuity.asp," 


Annuities: Insurance for Retirement",0
https://www.investopedia.com/special-features/,All Special Features,0
https://www.investopedia.com/how-to-calculate-return-on-investment-roi-4184798," 


How To Calculate Return On Investment (ROI)",0
https://www.investopedia.com/performance-chasing-can-cost-you-4581759," 


Performance Chasing Can Cost You",0
https://www.investopedia.com/put-option-basics-4184801," 


Put Option Basics",0
https://www.investopedia.com/terms/s/systematicrisk.asp,Read more,0
https://link.investopedia.com/join/53o/00-house-tod,SIGN UP NOW,0
https://www.investopedia.com/terms/m/movingaverage.asp,Moving Average - MA,0
https://www.investopedia.com/terms/d/deadcatbounce.asp,Dead Cat Bounce,0
https://www.investopedia.com/terms/s/stockoption.asp,Stock Option,0
https://www.investopedia.com/terms/b/businesscycle.asp,Business Cycle,0
https://www.investopedia.com/terms/f/futures.asp,Futures,0
https://www.investopedia.com/terms/c/correction.asp,Correction,0
https://www.facebook.com/Investopedia/, ,0
https://twitter.com/investopedia, ,0
https://www.linkedin.com/company/investopedia-ulc, ,0
https://www.youtube.com/user/investopediacom, ,0
https://www.investopedia.com/accounts/signupnewsletter/,,0
//privacy.truste.com/privacy-seal/validation?rid=f8e1238d-6371-460f-8ea0-1b8cad9e9c4b,,0
/about-us,About Us,0
/legal-4768893,EditorialPolicy,0
/legal-4768893,PrivacyPolicy,0
/legal-4768893,CaliforniaPrivacyNotice,0
/legal-4768893,TermsofUse,0
https://www.dotdash.com/our-brands/,Advertise,0
https://invcontent.zendesk.com/hc/en-us/requests/new,Contact Us,0
/news-4427706,News,0
http://jobs.jobvite.com/dotdash/,Careers,0
https://www.investopedia.com/terms-beginning-with-num-4769350,,0
https://www.investopedia.com/terms-beginning-with-a-4769351,A,0
https://www.investopedia.com/terms-beginning-with-b-4769352,B,0
https://www.investopedia.com/terms-beginning-with-c-4769353,C,0
https://www.investopedia.com/terms-beginning-with-d-4769354,D,0
https://www.investopedia.com/terms-beginning-with-e-4769355,E,0
https://www.investopedia.com/terms-beginning-with-f-4769356,F,0
https://www.investopedia.com/terms-beginning-with-g-4769357,G,0
https://www.investopedia.com/terms-beginning-with-h-4769358,H,0
https://www.investopedia.com/terms-beginning-with-i-4769359,I,0
https://www.investopedia.com/terms-beginning-with-j-4769360,J,0
https://www.investopedia.com/terms-beginning-with-k-4769361,K,0
https://www.investopedia.com/terms-beginning-with-l-4769362,L,0
https://www.investopedia.com/terms-beginning-with-m-4769363,M,0
https://www.investopedia.com/terms-beginning-with-n-4769364,N,0
https://www.investopedia.com/terms-beginning-with-o-4769365,O,0
https://www.investopedia.com/terms-beginning-with-p-4769366,P,0
https://www.investopedia.com/terms-beginning-with-q-4769367,Q,0
https://www.investopedia.com/terms-beginning-with-r-4769368,R,0
https://www.investopedia.com/terms-beginning-with-s-4769369,S,0
https://www.investopedia.com/terms-beginning-with-t-4769370,T,0
https://www.investopedia.com/terms-beginning-with-u-4769371,U,0
https://www.investopedia.com/terms-beginning-with-v-4769372,V,0
https://www.investopedia.com/terms-beginning-with-w-4769373,W,0
https://www.investopedia.com/terms-beginning-with-x-4769374,X,0
https://www.investopedia.com/terms-beginning-with-y-4769375,Y,0
https://www.investopedia.com/terms-beginning-with-z-4769376,Z,0
https://www.dotdash.com,Dotdash,0
https://www.tutorialspoint.com/index.htm,,0
https://www.tutorialspoint.com/about/about_careers.htm, Jobs,0
https://www.tutorialspoint.com/online_dev_tools.htm, Tools,0
https://www.tutorialspoint.com/codingground.htm, Coding Ground ,0
https://www.tutorialspoint.com/current_affairs.htm, Current Affairs,0
https://www.tutorialspoint.com/upsc_ias_exams.htm, UPSC Notes,0
https://www.tutorialspoint.com/tutor_connect/index.php, Online Tutors,0
https://www.tutorialspoint.com/whiteboard.htm, Whiteboard,0
https://www.tutorialspoint.com/netmeeting.php, Net Meeting,0
https://www.tutorix.com, Tutorix,0
https://www.facebook.com/tutorialspointindia,,0
https://www.twitter.com/tutorialspoint,,0
https://www.linkedin.com/company/tutorialspoint,,0
https://www.youtube.com/channel/UCVLbzhxVTiTLiVKeGV7WEBg,,0
,Categories ,0
/academic_tutorials.htm, Academic Tutorials,0
/big_data_tutorials.htm, Big Data & Analytics ,0
/computer_programming_tutorials.htm, Computer Programming ,0
/computer_science_tutorials.htm, Computer Science ,0
/database_tutorials.htm, Databases ,0
/devops_tutorials.htm, DevOps ,0
/digital_marketing_tutorials.htm, Digital Marketing ,0
/engineering_tutorials.htm, Engineering Tutorials ,0
/upsc_ias_exams.htm,UPSC IAS Exams Notes,0
/famous_monuments.htm, Famous Monuments ,0
/gate_exams_tutorials.htm, GATE Exams Tutorials,0
/latest_technologies.htm, Latest Technologies ,0
/machine_learning_tutorials.htm, Machine Learning ,0
/mainframe_tutorials.htm, Mainframe Development ,0
/management_tutorials.htm, Management Tutorials ,0
/maths_tutorials.htm, Mathematics Tutorials,0
/microsoft_technologies_tutorials.htm, Microsoft Technologies ,0
/misc_tutorials.htm, Misc tutorials ,0
/mobile_development_tutorials.htm, Mobile Development ,0
/java_technology_tutorials.htm, Java Technologies ,0
/python_technologies_tutorials.htm, Python Technologies ,0
/sap_tutorials.htm, SAP Tutorials ,0
/scripting_lnaguage_tutorials.htm,Programming Scripts ,0
/selected_reading.htm, Selected Reading ,0
/software_quality_tutorials.htm, Software Quality ,0
/soft_skill_tutorials.htm, Soft Skills ,0
/telecom_tutorials.htm, Telecom Tutorials ,0
/web_development_tutorials.htm, Web Development ,0
/sports_tutorials.htm, Sports Tutorials ,0
/xml_technologies_tutorials.htm, XML Technologies ,0
/multi_language_tutorials.htm, Multi-Language,0
/questions_and_answers.htm,Questions and Answers,0
javascript:void(0),,0
https://www.tutorialspoint.com/search.htm,,0
https://www.tutorialspoint.com/tutorialslibrary.htm, Library,0
https://www.tutorialspoint.com/videotutorials/index.php, Videos,0
https://www.tutorialspoint.com/questions/index.php, Q/A,0
https://store.tutorialspoint.com, eBooks,0
/management_principles/index.htm, Previous Page,0
/management_principles/management_principles_overview.htm,Next Page  ,0
/management_principles/management_principles_managers_role.htm,Management - Role Of Managers,0
/management_principles/management_principles_polc_framework.htm,The P-O-L-C Framework,0
/management_principles/management_principles_classical_schools_thought.htm,Classical Schools Of Thought,0
/management_principles/management_principles_modern_schools_thought.htm,Modern Schools Of Thought,0
/management_principles/management_principles_environment.htm,Management - Environment,0
/management_principles/management_principles_factors_affecting.htm,Management - Factors Affecting,0
/management_principles/management_principles_organization.htm,Management - Organization,0
/management_principles/management_principles_leadership_styles.htm,Management - Leadership Styles,0
/management_principles/management_principles_mission_vision_values.htm,"Mission,Vision and Values",0
/management_principles/management_principles_personalty_attitude.htm,Personalty and Attitude,0
/management_principles/management_principles_work_attitude_behaviour.htm,Work Attitude and Behaviour,0
/management_principles/management_principles_decision_making_nature_significance.htm,Decision Making Nature Significance,0
/management_principles/management_principles_factors_affecting_decision_making.htm,Factors Affecting Decision Making,0
/management_principles/management_principles_decision_making_styles.htm,Decision Making - Styles,0
/management_principles/management_principles_decision_making_tools.htm,Decision Making - Tools,0
/management_principles/management_principles_planning_introduction.htm,Planning - Introduction,0
/management_principles/management_principles_types_plans.htm,Types Of Plans,0
/management_principles/management_principles_planning_environment.htm,The Planning Environment,0
/management_principles/management_principles_importance_organizing.htm,Importance Of Organizing,0
/management_principles/management_principles_organizing.htm,Principles Of Organizing,0
/management_principles/management_principles_organizational_structure.htm,Organizational Structure,0
/management_principles/management_principles_organizational_process.htm,Organizational Process,0
/management_principles/management_principles_organizational_change.htm,Organizational Change,0
/management_principles/management_principles_organizational_change_factors.htm,Organizational Change Factors,0
/management_principles/organizational_change_management_principles.htm,Organizational Change Management,0
/management_principles/management_principles_multinational_organizations.htm,Multinational Organizations,0
/management_principles/management_principles_global_ecosystem_impact.htm,Global Ecosystem and its Impact,0
/management_principles/management_principles_quick_guide.htm,Quick Guide,0
/management_principles/management_principles_useful_resources.htm,Resources,0
/management_principles/management_principles_discussion.htm,Discussion,0
/developers_best_practices/index.htm,Developer's Best Practices,0
/effective_resume_writing.htm,Effective Resume Writing,0
/hr_interview_questions/index.htm,HR Interview Questions,0
/computer_glossary.htm,Computer Glossary,0
/computer_whoiswho.htm,Who is Who,0
/management_principles/management_principles_pdf_version.htm,PDF Version,0
javascript:printPage(),,0
/index.htm,,0
/about/index.htm, About us,0
/about/about_terms_of_use.htm, Terms of use,0
/about/about_privacy.htm,  Privacy Policy,0
/about/faq.htm, FAQ's,0
/about/about_helping.htm, Helping,0
/about/contact_us.htm, Contact,0
/marketing_management/index.htm, Previous Page,0
/marketing_management/marketing_management_overview.htm,Next Page  ,0
/marketing_management/marketing_management_concepts.htm,Marketing Management - Concepts,0
/marketing_management/marketing_management_process.htm,Marketing Management - Process,0
/marketing_management/marketing_management_functions.htm,Marketing Management - Functions,0
/marketing_management/marketing_management_environment.htm,Marketing Mngmt - Environment,0
/marketing_management/marketing_management_porters_five_forces.htm,Porter’s Five Forces,0
/marketing_management/marketing_management_planning.htm,Marketing Management - Planning,0
/marketing_management/marketing_management_research.htm,Marketing Management - Research,0
/marketing_management/marketing_management_research_process.htm,Research Process,0
/marketing_management/marketing_management_consumer_behavior.htm,Consumer Behavior,0
/marketing_management/marketing_management_obb.htm,Marketing Management - OBB,0
/marketing_management/marketing_management_segmentation.htm,Marketing Mngmt - Segmentation,0
/marketing_management/marketing_management_demand_forecasting.htm,Demand Forecasting,0
/marketing_management/marketing_management_product_life_cycle.htm,Product Life Cycle,0
/marketing_management/marketing_management_branding_of_a_product.htm,Branding of a Product,0
/marketing_management/marketing_management_brand_equity.htm,Marketing Mngmt - Brand Equity,0
/marketing_management/marketing_management_pricing_decision.htm,Marketing Mngmt - Pricing Decision,0
/marketing_management/marketing_management_promotion_decisions.htm,Promotion Decisions,0
/marketing_management/marketing_management_distribution_channels.htm,Distribution Channels,0
/marketing_management/marketing_management_physical_distribution.htm,Physical Distribution,0
/marketing_management/marketing_management_advanced_topics.htm,Marketing Mngmt - Advanced Topics,0
/marketing_management/marketing_management_quick_guide.htm,Quick Guide,0
/marketing_management/marketing_management_useful_resources.htm,Resources,0
/marketing_management/marketing_management_discussion.htm,Discussion,0
/marketing_management/marketing_management_pdf_version.htm,PDF Version,0
/human_resource_management/index.htm, Previous Page,0
/human_resource_management/human_resource_management_introduction.htm,Next Page  ,0
/human_resource_management/human_resource_management_hr_and_business_strategy.htm,HRM – HR & Business Strategy,0
/human_resource_management/human_resource_management_planning.htm,HRM – Planning,0
/human_resource_management/human_resource_management_talent.htm,HRM – Talent Management,0
/human_resource_management/human_resource_management_training_and_development.htm,HRM – Training & Development,0
/human_resource_management/human_resource_management_performance.htm,HRM – Performance Management,0
/human_resource_management/human_resource_management_employee_engagement.htm,HRM – Employee Engagement,0
/human_resource_management/human_resource_management_employee_performance.htm,HRM – Employee Performance,0
/human_resource_management/human_resource_management_compensation.htm,HRM – Compensation Management,0
/human_resource_management/human_resource_management_rewards_and_recognition.htm,HRM – Rewards & Recognition,0
/human_resource_management/human_resource_management_organizational_culture.htm,HRM – Organizational Culture,0
/human_resource_management/human_resource_management_workplace_diversity.htm,HRM – Workplace Diversity,0
/human_resource_management/human_resource_management_industrial_relations.htm,HRM – Industrial Relations,0
/human_resource_management/human_resource_management_dispute_resolution.htm,HRM – Dispute Resolution,0
/human_resource_management/human_resource_management_ethical_issues.htm,HRM – Ethical Issues,0
/human_resource_management/human_resource_management_audit_and_evaluation.htm,HRM – Audit & Evaluation,0
/human_resource_management/human_resource_management_international.htm,HRM – International HRM,0
/human_resource_management/human_resource_management_ehrm.htm,HRM – eHRM,0
/human_resource_management/human_resource_management_small_scale_units.htm,HRM – Small Scale Units,0
/human_resource_management/human_resource_management_quick_guide.htm,Quick Guide,0
/human_resource_management/human_resource_management_useful_resources.htm,Resources,0
/human_resource_management/human_resource_management_discussion.htm,Discussion,0
/human_resource_management/human_resource_management_pdf_version.htm,PDF Version,0
./,Home,0
all-subjects.htm,library,0
management-basics-articles.htm,Management Basics,0
planning-function-articles.htm,Planning Function,0
organizing-function-articles.htm,Organizing Function,0
staffing-function-articles.htm,Staffing Function,0
directing-function-articles.htm,Directing Function,0
controlling-function-articles.htm,Controlling Function,0
motivation-articles.htm,Motivation,0
leadership-articles.htm,Leadership,0
communication-basics-articles.htm,Communication - Basics & Strategies,0
business-communication-articles.htm,Business Communication,0
managerial-communication-articles.htm,Managerial Communication,0
public-speaking-articles.htm,Public Speaking,0
time-management-articles.htm,Time Management,0
corporate-etiquettes-articles.htm,Corporate Etiquettes,0
corporate-dressing-articles.htm,Corporate Dressing,0
personality-development-articles.htm,Personality Development,0
organization-culture-articles.htm,Organization Culture,0
organization-management-articles.htm,Organization Management,0
change-management-articles.htm,Change Management,0
organizational-diversity-articles.htm,Organizational Diversity,0
decision-making-articles.htm,Decision Making,0
interpersonal-relationship-articles.htm,Interpersonal Relationship,0
team-building-articles.htm,Team Building,0
values-and-ethics-articles.htm,Values & Ethics,0
conflict-management-articles.htm,Conflict Management,0
workplace-politics-articles.htm,Workplace Politics,0
negotiation-articles.htm,Negotiation,0
public-relations-articles.htm,Public Relations,0
risk-management-articles.htm,Risk Management,0
crisis-management-articles.htm,Crisis Management,0
workplace-violence-articles.htm,Workplace Violence,0
virtual-teams-articles.htm,Virtual Teams,0
public-administration-articles.htm,Public Administration,0
non-profit-organizations-articles.htm,Non Profit Organizations,0
political-science-articles.htm,Political Science,0
group-behavior-articles.htm,Group Behavior,0
business-agility-articles.htm,Business Agility,0
psychology-articles.htm,Psychology,0
marketing-management-articles.htm,Marketing Management,0
marketing-research-articles.htm,Marketing Research,0
advertising-management-articles.htm,Advertising Management,0
mass-communication-articles.htm,Mass Communication,0
strategic-management-articles.htm,Strategic Management,0
corporate-governance-articles.htm,Corporate Governance,0
corporate-social-responsibility-articles.htm,Corporate Social Responsibility,0
competency-management-articles.htm,Competency Management,0
brand-management-articles.htm,Brand Management,0
strategic-brand-management-articles.htm,Strategic Brand Management,0
brand-leadership-articles.htm,Brand Leadership,0
market-segmentation-articles.htm,Market Segmentation,0
product-management-articles.htm,Product Management,0
consumer-behaviour-articles.htm,Consumer Behaviour,0
sales-management-articles.htm,Sales Management,0
retail-management-articles.htm,Retail Management,0
international-retailing-articles.htm,International Retailing,0
services-marketing-articles.htm,Services Marketing,0
e-marketing-articles.htm,E - Marketing,0
integrated-marketing-communications-articles.htm,Integrated Marketing Communications,0
customer-relationship-management-articles.htm,Customer Relationship Management,0
relationship-marketing-articles.htm,Relationship Marketing,0
business-to-business-marketing-articles.htm,Business to Business Marketing,0
consultative-selling-articles.htm,Consultative Selling,0
multi-level-marketing-articles.htm,Multi Level Marketing,0
social-media-marketing-articles.htm,Social Media Marketing,0
social-research-methods-articles.htm,Social Research Methods,0
personnel-management-articles.htm,Personnel Management,0
human-resource-management-articles.htm,Human Resource Management,0
human-resource-development-articles.htm,Human Resource Development,0
compensation-management-articles.htm,Compensation Management,0
job-analysis-and-design-articles.htm,Job Analysis & Design,0
performance-management-articles.htm,Performance Management,0
rewards-management-articles.htm,Rewards Management,0
competency-based-assessment-articles.htm,Competency Based Assessment,0
employee-development-articles.htm,Employee Development,0
training-and-development-articles.htm,Training & Development,0
participative-management-articles.htm,Participative Management,0
employee-relationship-management-articles.htm,Employee Relationship Management,0
career-development-articles.htm,Career Development,0
talent-management-articles.htm,Talent Management,0
human-capital-management-articles.htm,Human Capital Management,0
knowing-your-employees-articles.htm,Knowing Your Employees,0
relationship-building-articles.htm,Relationship Building,0
employee-behaviour-articles.htm,Employee Behaviour,0
workplace-efficiency-articles.htm,Workplace Efficiency,0
employee-engagement-articles.htm,Employee Engagement,0
employee-satisfaction-articles.htm,Employee Satisfaction,0
knowledge-management-articles.htm,Knowledge Management,0
employee-retention-articles.htm,Employee Retention,0
entrepreneurship-articles.htm,Entrepreneurship,0
social-entrepreneurship-articles.htm,Social Entrepreneurship,0
youth-entrepreneurship-articles.htm,Youth Entrepreneurship,0
management-consulting-articles.htm,Management Consulting,0
employer-branding-articles.htm,Employer Branding,0
supply-chain-management-articles.htm,Supply Chain Management,0
inventory-management-articles.htm,Inventory Management,0
enterprise-resource-planning-1-articles.htm,Enterprise Resource Planning - I,0
enterprise-resource-planning-2-articles.htm,Enterprise Resource Planning - II,0
business-process-management-articles.htm,Business Process Management,0
globalization-articles.htm,Globalization,0
international-business-articles.htm,International Business,0
business-process-outsourcing-articles.htm,Business Process Outsourcing,0
disaster-recovery-management-articles.htm,Disaster Recovery Management,0
business-continuity-management-articles.htm,Business Continuity Management,0
project-management-articles.htm,Project Management,0
production-and-operations-management-articles.htm,Production & Operations Management,0
management-information-system-articles.htm,Management Information System,0
database-management-system-articles.htm,Database Management System,0
business-process-improvement-articles.htm,Business Process Improvement,0
total-quality-management-articles.htm,Total Quality Management,0
six-sigma-articles.htm,Six Sigma - Introduction,0
six-sigma-define-phase-articles.htm,Six Sigma - Define Phase,0
six-sigma-measure-phase-articles.htm,Six Sigma - Measure Phase,0
six-sigma-analyze-phase-articles.htm,Six Sigma - Analyze Phase,0
six-sigma-control-phase-articles.htm,Six Sigma - Control Phase,0
six-sigma-team-articles.htm,Six Sigma - Team,0
six-sigma-tools-articles.htm,Six Sigma - Tools,0
import-and-export-management-articles.htm,Import & Export Management,0
intellectual-property-rights-articles.htm,Intellectual Property Rights,0
decision-support-systems-articles.htm,Decision Support Systems,0
human-resource-information-system-articles.htm,Human Resource Information System,0
financial-management-articles.htm,Financial Management,0
financial-accounting-articles.htm,Financial Accounting,0
ratio-analysis-articles.htm,Ratio Analysis,0
derivatives-articles.htm,Derivatives,0
forex-markets-articles.htm,Forex Markets,0
banking-articles.htm,Banking,0
portfolio-management-articles.htm,Portfolio Management,0
corporate-finance-articles.htm,Corporate Finance,0
equity-valuation-articles.htm,Equity Valuation,0
job-order-costing-articles.htm,Job Order Costing,0
financial-modelling-articles.htm,Financial Modelling,0
managerial-economics-articles.htm,Managerial Economics,0
gross-domestic-product-articles.htm,Gross Domestic Product,0
economics-of-human-resources-articles.htm,Economics of Human Resources,0
econometrics-of-human-resources-articles.htm,Econometrics of Human Resources,0
unemployment-articles.htm,Unemployment,0
subprime-mortgage-crisis-articles.htm,Subprime Mortgage Crisis,0
quantitative-easing-articles.htm,Quantitative Easing,0
real-estate-articles.htm,Real Estate,0
https://managementstudyguide.com/portal/courses,Courses,0
https://managementstudyguide.com/portal/user/plans-and-pricing,Plans & Pricing,0
contact-us.htm,About Us,0
today-on-msg.htm,Latest Articles,0
https://managementstudyguide.com/portal/user/login,Login,0
https://managementstudyguide.com/portal/user/register,Download FREE Presentations,0
https://www.youtube.com/watch?v=U4O3Yxx70lk,,0
https://www.youtube.com/watch?v=9Wlb0T0br58,,0
https://www.youtube.com/watch?v=9aq1vtJo-2c,,0
https://www.youtube.com/watch?v=eoVRptDqmC8,,0
https://www.youtube.com/watch?v=fi5Jw_tse94,,0
https://www.youtube.com/watch?v=OKp0kUntvOw,,0
https://www.youtube.com/watch?v=GeOTxe6eZGQ,,0
https://www.youtube.com/watch?v=gPJWfuLkDCg,,0
https://www.youtube.com/watch?v=nkJV3BURj9k,,0
http://managementstudyguide.com/dc/c/pmsd/,,0
http://managementstudyguide.com/dc/c/sgtd/,,0
http://managementstudyguide.com/dc/c/msfd/,,0
tempmon/modules/Negotiation-Skills-Basics-Demo,,0
tempmon/modules/Human-Resource-Management-Demo,,0
tempmon/modules/Assertiveness-Skills-Demo,,0
tempmon/modules/Persuasion-Skills-Demo,,0
tempmon/modules/SWOT-Analysis-Demo,,0
tempmon/modules/Management-By-Objectives-Demo,,0
tempmon/modules/Group-Discussion-Strategies-Demo,,0
tempmon/modules/Stocks-and-Investing-Demo,,0
tempmon/modules/Competency-Iceberg-Model-Demo,,0
human-resource-management.htm,Human Resource Management,0
swot-analysis.htm,SWOT Analysis,0
strategic-management.htm,Strategic Management,0
financial-management.htm,Finance,0
emotional-intelligence-for-leaders.htm,Emotional Intelligence for Leaders,0
business_communication.htm,What is Business Communication,0
what_is_management.htm,Management Basics,0
total-quality-management.htm,Total Quality Management - Meaning and Important Concepts,0
bcg-matrix.htm,BCG Matrix - Meaning and its Limitations,0
transactional-leadership.htm,Transactional Leadership Theory,0
seven-cs-of-effective-communication.htm,Seven Cs of Effective Communication,0
capacity-planning.htm,"Capacity Planning - Meaning, Classification and its Goals",0
brand-management.htm,Brand Management - Meaning and Important Concepts,0
ratio-analysis.htm,What is Ratio Analysis ?,0
six-sigma.htm,Six Sigma - Definition and its Origin,0
how-to-win-at-workplace-politics.htm,How to Win at Workplace Politics,0
management_functions.htm,Functions of Management,0
situational-leadership.htm,Situational Leadership - Meaning and Concept,0
negotiation-skills.htm,Negotiation Skills - How to Negotiate Effectively,0
strategic-change-theories.htm,What is Strategic Change ? - Meaning and its Theories,0
importance-of-compassion-in-leadership.htm,Importance of Compassion in Leadership,0
,,0
planning_function.htm,Management Functions,0
what_is_motivation.htm,Organizational Behaviour,0
marketing-for-21st-century.htm,Marketing,0
personnel-management.htm,People Management,0
supply-chain-management-definition.htm,Operations,0
managerial-economics.htm,Economics,0
https://managementstudyguide.com/downloads/index.html,Powerpoint Presentations,0
membership-signup.htm,Membership - FAQs,0
https://plus.google.com/u/0/108066840833446698543/posts,google-plus,0
https://twitter.com/managementstudy,twitter,0
https://www.facebook.com/pages/Management-Study-Guide/99806540662,facebook,0
msg-privacy-policy.htm,Privacy Policy,0
index.html,home,0
